Game Name,Release Date,Price,Categories,User Tags,Developer,Publisher,Review Level,Review Detail
Phantom Brigade,28-Feb-23,$29.99 ,"Indie, RPG, Strategy","Strategy, Mechs, Turn-Based Tactics, Turn-Based, Turn-Based Strategy, Turn-Based Combat, Tactical, Military, Action, RPG, Moddable, Sci-fi, Procedural Generation, Space, Robots, Management, Singleplayer, Futuristic, Inventory Management, Indie, +, ",Brace Yourself Games,Brace Yourself Games,Mostly Positive,"- 76% of the 2,866 user reviews for this game are positive."
Crusader Kings III: Northern Lords,16-Mar-21,$12.99 ,"RPG, Simulation, Strategy","Simulation, Strategy, RPG, Vikings, +, ",Paradox Development Studio,Paradox Interactive,Mixed,"- 67% of the 1,049 user reviews for this game are positive."
The Evil Within,13-Oct-14,$19.99 ,Action,"Horror, Survival Horror, Psychological Horror, Gore, Atmospheric, Singleplayer, Action, Third Person, Survival, Zombies, Dark, Stealth, Third-Person Shooter, Difficult, Adventure, Cinematic, Shooter, Story Rich, Multiplayer, Co-op, +, ",Tango Gameworks,Bethesda Softworks,Very Positive,"- 84% of the 18,425 user reviews for this game are positive."
Sid Meier's Civilization® VI: Ethiopia Pack,23-Jul-20,$39.99 ,Strategy,"Strategy, +, ",Firaxis Games,2K,Mixed,- 58% of the 110 user reviews for this game are positive.
Doki Doki Literature Club Plus!,30-Jun-21,$14.99 ,"Casual, Indie","Psychological Horror, Visual Novel, Anime, Dating Sim, Sexual Content, Cute, Romance, Story Rich, Multiple Endings, Gore, Singleplayer, 2D, Violent, Interactive Fiction, Text-Based, Conversation, Dark Humor, Indie, Casual, Choose Your Own Adventure, +, ",Team Salvato,Serenity Forge,Overwhelmingly Positive,"- 96% of the 23,392 user reviews for this game are positive."
Hellblade: Senua's Sacrifice,8-Aug-17,$29.99 ,"Action, Adventure, Indie","Atmospheric, Psychological, Female Protagonist, Story Rich, Mythology, Singleplayer, Dark, Adventure, Horror, Third Person, Dark Fantasy, Action, Violent, Indie, Walking Simulator, Hack and Slash, Action-Adventure, Fantasy, Realistic, Blood, +, ",Ninja Theory,Ninja Theory,Very Positive,"- 90% of the 62,409 user reviews for this game are positive."
Seablip,17-May-24,$14.99 ,"Adventure, Indie, RPG, Early Access","Early Access, Pirates, Pixel Graphics, Open World, Strategy RPG, Action-Adventure, RPG, Adventure, Singleplayer, Exploration, Character Customization, Naval Combat, Casual, Colorful, Indie, Combat, 2D, Cute, Fishing, Strategy, +, ",Jardar Solli,Vibedy,Very Positive,- 83% of the 733 user reviews for this game are positive.
Dragon's Dogma: Dark Arisen,15-Jan-16,$29.99 ,"Action, Adventure, RPG","RPG, Open World, Character Customization, Fantasy, Action, Adventure, Singleplayer, Action RPG, Dragons, Third Person, Dark Fantasy, Magic, Exploration, Atmospheric, Great Soundtrack, Story Rich, Difficult, Multiplayer, JRPG, Hack and Slash, +, ",Capcom,Capcom,Very Positive,"- 88% of the 34,735 user reviews for this game are positive."
STEINS;GATE 0,8-May-18,$34.99 ,Adventure,"Visual Novel, Story Rich, Anime, Time Travel, Sci-fi, Great Soundtrack, Multiple Endings, Adventure, Singleplayer, Science, Choices Matter, Artificial Intelligence, Romance, Psychological Horror, Mystery, Psychological, Atmospheric, Violent, Memes, Sexual Content, +, ",MAGES. Inc.,"Spike Chunsoft Co., Ltd.",Overwhelmingly Positive,"- 96% of the 5,770 user reviews for this game are positive."
SEGA Bass Fishing,4-Mar-11,$57.93 ,"Simulation, Sports","Fishing, Simulation, Sports, Arcade, Singleplayer, Classic, Casual, Psychological Horror, +, ",SEGA,SEGA,Very Positive,- 90% of the 492 user reviews for this game are positive.
Sid Meier's Civilization® VI: Portugal Pack,25-Mar-21,$209.85 ,Strategy,"Strategy, +, ",Firaxis Games,2K,Mixed,- 47% of the 134 user reviews for this game are positive.
Steelrising,8-Sep-22,$49.99 ,"Action, Adventure, RPG","Atmospheric, Souls-like, Action, Singleplayer, Third Person, RPG, Adventure, Action RPG, Difficult, Fantasy, Exploration, Character Customization, Story Rich, Soundtrack, Violent, Dark Fantasy, Alternate History, Character Action Game, Action-Adventure, Cinematic, +, ",Spiders,Nacon,Mostly Positive,"- 73% of the 2,854 user reviews for this game are positive."
Deus Ex: Mankind Divided,23-Aug-16,$29.99 ,"Action, RPG","Cyberpunk, Stealth, RPG, Sci-fi, Story Rich, Action, Atmospheric, Singleplayer, Futuristic, First-Person, Illuminati, FPS, Immersive Sim, Great Soundtrack, Shooter, Open World, Conspiracy, Dystopian, Transhumanism, Adventure, +, ",Eidos Montreal,Eidos Interactive Corp.,Mostly Positive,"- 76% of the 29,005 user reviews for this game are positive."
THRESHOLD,19-Nov-24,$22.98 ,"Adventure, Indie","Horror, Psychological Horror, Atmospheric, Dark, Exploration, Story Rich, Walking Simulator, Choices Matter, Multiple Endings, Surreal, Thriller, Mystery, Adventure, Retro, Singleplayer, Indie, Survival Horror, First-Person, Stylized, Choose Your Own Adventure, +, ",Julien Eveillé,CRITICAL REFLEX,Very Positive,- 89% of the 341 user reviews for this game are positive.
Expansion - Hearts of Iron IV: Man the Guns,28-Feb-19,$19.99 ,"Simulation, Strategy","Strategy, Simulation, World War II, Grand Strategy, War, Naval, Alternate History, Singleplayer, Historical, +, ",Paradox Development Studio,Paradox Interactive,Mixed,"- 58% of the 1,553 user reviews for this game are positive."
Jurassic World Evolution 2: Secret Species Pack,13-Mar-24,$7.99 ,"Simulation, Strategy","Dinosaurs, Simulation, Building, Strategy, Management, Sandbox, Singleplayer, City Builder, Economy, Sci-fi, Resource Management, Open World, Violent, Atmospheric, Sequel, Action, Survival, Multiplayer, Base Building, Casual, +, ",Frontier Developments,Frontier Developments,Mostly Positive,- 77% of the 112 user reviews for this game are positive.
"Northgard - Kernev, Clan of the Stoat",24-Aug-23,$4.99 ,"Indie, Simulation, Strategy","Strategy, Indie, Simulation, +, ",Shiro Games,Shiro Games,Mostly Positive,- 74% of the 124 user reviews for this game are positive.
MechWarrior 5: Mercenaries - Rise of Rasalhague,25-Jan-23,$14.99 ,"Action, Simulation","Simulation, Action, Mechs, +, ",Piranha Games Inc.,Piranha Games Inc.,Mixed,- 61% of the 165 user reviews for this game are positive.
Voidwrought,24-Oct-24,$19.99 ,"Action, Adventure, Indie","Metroidvania, Dark, Lore-Rich, 2D Platformer, Exploration, Lovecraftian, 2D, Action, Combat, Platformer, Atmospheric, Action-Adventure, Controller, Mythology, Hand-drawn, Fantasy, Horror, Supernatural, Singleplayer, Dark Fantasy, +, ",Powersnake,Kwalee,Very Positive,- 80% of the 289 user reviews for this game are positive.
Motel Manager Simulator,26-Aug-24,$17.99 ,"Casual, Simulation","Simulation, Management, Economy, Immersive Sim, Life Sim, Trading, Design & Illustration, Sandbox, Atmospheric, Realistic, Building, Singleplayer, 1990's, First-Person, Casual, Family Friendly, 3D, +, ",Denzone Games,Denzone Games,Very Positive,- 89% of the 781 user reviews for this game are positive.
Animal Jam,11-Dec-18,,"Adventure, Massively Multiplayer, Simulation, Early Access","Free to Play, Massively Multiplayer, Family Friendly, Adventure, Cute, Multiplayer, Simulation, Character Customization, Open World, Casual, Great Soundtrack, Early Access, Atmospheric, MMORPG, Memes, LGBTQ+, Anime, Fantasy, Illuminati, Difficult, +, ","WildWorks, Inc.","WildWorks, Inc.",No user reviews,No user reviews
Silica,3-May-23,$19.99 ,"Action, Indie, Strategy, Early Access","Multiplayer, RTS, FPS, Strategy, Shooter, PvP, Vehicular Combat, 3D, Sci-fi, Action, Aliens, Early Access, Physics, Singleplayer, First-Person, Indie, Co-op, PvE, Online Co-Op, Futuristic, +, ",Martin 'Dram' Melichárek,Bohemia Interactive,Mostly Positive,"- 77% of the 3,806 user reviews for this game are positive."
Persona 4 Arena Ultimax,16-Mar-22,$29.99 ,Action,"Action, 2D Fighter, Anime, Fighting, Story Rich, Multiplayer, 2D, Great Soundtrack, Visual Novel, JRPG, Singleplayer, Arcade, Sexual Content, Funny, Local Multiplayer, +, ",Arc System Works,SEGA,Very Positive,"- 86% of the 3,113 user reviews for this game are positive."
