Game Name,Release Date,Price,Categories,User Tags,Developer,Publisher,Review Level,Review Detail
Counter-Strike 2,21-Aug-12,$129.84 ,"Action, Free To Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable, +, ",Valve,Valve,Very Positive,"- 86% of the 8,415,951 user reviews for this game are positive."
Call of Duty®: Black Ops 6,24-Oct-24,$69.99 ,Action,"Action, Shooter, Multiplayer, FPS, Singleplayer, First-Person, Military, PvP, War, Capitalism, Violent, Story Rich, Co-op, Gore, Realistic, PvE, Online Co-Op, Romance, Open World, Co-op Campaign, +, ",Treyarch,Activision,Mixed,"- 56% of the 7,650 user reviews for this game are positive."
Baldur's Gate 3,3-Aug-23,$59.99 ,"Adventure, RPG, Strategy","RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat, Dungeons & Dragons, CRPG, Adventure, Fantasy, Online Co-Op, Romance, Multiplayer, Sexual Content, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Nudity, Combat, +, ",Larian Studios,Larian Studios,Overwhelmingly Positive,"- 96% of the 607,907 user reviews for this game are positive."
Cyberpunk 2077,9-Dec-20,$59.99 ,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, FPS, Futuristic, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim, +, ",CD PROJEKT RED,CD PROJEKT RED,Very Positive,"- 84% of the 695,169 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
S.T.A.L.K.E.R. 2: Heart of Chornobyl,20-Nov-24,$59.99 ,"Action, Adventure, RPG","Open World, FPS, Post-apocalyptic, Survival, Atmospheric, Shooter, Singleplayer, RPG, Exploration, Story Rich, Action, First-Person, Lore-Rich, Nonlinear, Sci-fi, Multiple Endings, Immersive Sim, Choices Matter, Realistic, Cinematic, +, ",GSC Game World,GSC Game World (worldwide),Very Positive,"- 82% of the 50,592 user reviews for this game are positive."
"Warhammer 40,000: Space Marine 2",9-Sep-24,$59.99 ,"Action, Adventure, RPG","Warhammer 40K, Action, Third-Person Shooter, Multiplayer, Co-op, PvE, Adventure, Action-Adventure, Third Person, Wargame, Sci-fi, 3D, Fantasy, Narration, War, Space, Singleplayer, Realistic, Cinematic, Futuristic, +, ",Saber Interactive,Focus Entertainment,Very Positive,"- 82% of the 94,468 user reviews for this game are positive."
Call of Duty®: Warzone™,16-Nov-22,Free,"Action, Free To Play","Free to Play, FPS, Multiplayer, Battle Royale, Action, Shooter, Violent, Singleplayer, First-Person, Gore, Military, PvP, Online Co-Op, Survival, Co-op, Realistic, Open World, Third Person, Adventure, Atmospheric, +, ",Infinity Ward,Activision,Mostly Negative,"- 32% of the 39,972 user reviews for this game are positive."
Path of Exile 2,Coming soon,$29.99 ,"Action, Adventure, Massively Multiplayer, RPG, Early Access","Early Access, Action RPG, Free to Play, Hack and Slash, Action, Adventure, RPG, MMORPG, Dungeon Crawler, Isometric, Dark Fantasy, Loot, Character Customization, Horror, Crafting, Multiplayer, Inventory Management, Online Co-Op, Singleplayer, Dark, +, ",Grinding Gear Games,Grinding Gear Games,No user reviews,No user reviews
NBA 2K25,28-Oct-24,$69.99 ,"Simulation, Sports","Sports, Basketball, Simulation, eSports, 3D, Management, Immersive Sim, PvP, Character Customization, Controller, Team-Based, Deckbuilding, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local, +, ",Visual Concepts,2K,Mixed,"- 58% of the 8,270 user reviews for this game are positive."
Metaphor: ReFantazio,10-Oct-24,$69.99 ,"Action, Adventure, RPG","RPG, Anime, JRPG, Turn-Based Combat, Adventure, Story Rich, Time Management, Turn-Based Strategy, Singleplayer, Action RPG, Dark Fantasy, Party-Based RPG, Fantasy, Third Person, Colorful, Strategy RPG, Strategy, Choose Your Own Adventure, Hack and Slash, Turn-Based Tactics, +, ",ATLUS,SEGA,Very Positive,"- 91% of the 12,486 user reviews for this game are positive."
Red Dead Redemption 2,5-Dec-19,$59.99 ,"Action, Adventure","Open World, Story Rich, Western, Adventure, Multiplayer, Action, Realistic, Singleplayer, Shooter, Atmospheric, Horses, Beautiful, Mature, Third-Person Shooter, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS, +, ",Rockstar Games,Rockstar Games,Very Positive,"- 91% of the 588,951 user reviews for this game are positive."
THRONE AND LIBERTY,1-Oct-24,Free To Play,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","MMORPG, Free to Play, Massively Multiplayer, RPG, Open World, Fantasy, PvP, Character Customization, PvE, Action, Adventure, Multiplayer, Third Person, Exploration, Action-Adventure, Online Co-Op, Combat, Crafting, Emotional, Co-op, +, ",NCSOFT,Amazon Games,Mixed,"- 69% of the 54,303 user reviews for this game are positive."
The Sims™ 4,2-Sep-14,$79.97 ,"Adventure, Casual, Simulation, Free To Play","Life Sim, Character Customization, Free to Play, Building, Multiplayer, Romance, Sandbox, Simulation, Singleplayer, Dating Sim, Relaxing, Casual, Realistic, Funny, Cute, Immersive Sim, Family Friendly, Fantasy, Adventure, Cartoony, +, ",Maxis,Electronic Arts,Very Positive,"- 87% of the 155,164 user reviews for this game are positive."
Hogwarts Legacy,10-Feb-23,$59.99 ,"Action, Adventure, RPG","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly, +, ",Avalanche Software,Warner Bros. Games,Very Positive,"- 90% of the 210,154 user reviews for this game are positive."
Apex Legends™,4-Nov-20,Free To Play,"Action, Adventure, Free To Play","Free to Play, Battle Royale, Multiplayer, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Survival, Loot, Character Customization, Co-op, Funny, Lore-Rich, Cyberpunk, Cinematic, +, ",Respawn,Electronic Arts,Mixed,"- 67% of the 967,341 user reviews for this game are positive."
Ghost of Tsushima DIRECTOR'S CUT,16-May-24,$59.99 ,"Action, Adventure","Action, Open World, Adventure, Singleplayer, Story Rich, Stealth, Combat, Third Person, Ninja, Action-Adventure, Action RPG, Souls-like, Gore, Historical, Atmospheric, Multiplayer, Violent, Online Co-Op, Exploration, Co-op, +, ",Sucker Punch Productions,PlayStation Publishing LLC,Very Positive,"- 93% of the 32,457 user reviews for this game are positive."
HELLDIVERS™ 2,8-Feb-24,$39.99 ,Action,"Online Co-Op, PvE, Multiplayer, Third-Person Shooter, Action, Shooter, Co-op, Sci-fi, Capitalism, Space, Extraction Shooter, Third Person, Comedy, Gore, Violent, Great Soundtrack, Difficult, Psychological Horror, Singleplayer, Open World, +, ",Arrowhead Game Studios,PlayStation Publishing LLC,Mostly Positive,"- 74% of the 683,245 user reviews for this game are positive."
Dead by Daylight,14-Jun-16,$19.99 ,Action,"Horror, Multiplayer, Survival Horror, Online Co-Op, Co-op, Survival, Gore, Team-Based, Blood, Stealth, Third Person, Violent, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult, +, ",Behaviour Interactive Inc.,Behaviour Interactive Inc.,Very Positive,"- 80% of the 550,068 user reviews for this game are positive."
EA SPORTS FC™ 25,26-Sep-24,$69.99 ,"Simulation, Sports","Sports, Simulation, Football (Soccer), Controller, Multiplayer, eSports, Competitive, Local Co-Op, Family Friendly, Online Co-Op, Local Multiplayer, Singleplayer, Modern, PvP, Realistic, Soundtrack, Co-op, Free to Play, Split Screen, LGBTQ+, +, ",EA Canada & EA Romania,Electronic Arts,Mixed,"- 47% of the 25,905 user reviews for this game are positive."
Cyberpunk 2077: Phantom Liberty,25-Sep-23,$29.99 ,RPG,"RPG, Sexual Content, Cyberpunk, Open World, Story Rich, Nudity, Violent, Gore, Singleplayer, Atmospheric, First-Person, FPS, Character Customization, Action RPG, Action, Choices Matter, Shooter, Horror, Great Soundtrack, Stealth, +, ",CD PROJEKT RED,CD PROJEKT RED,Very Positive,"- 89% of the 16,467 user reviews for this game are positive."
Warframe,25-Mar-13,$4.99 ,"Action, RPG, Free To Play","Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Massively Multiplayer, Character Customization, Online Co-Op, Co-op, Singleplayer, PvE, Sci-fi, Space, Shooter, Lore-Rich, Hack and Slash, Parkour, Ninja, +, ",Digital Extremes,Digital Extremes,Very Positive,"- 87% of the 599,540 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Red Dead Redemption,29-Oct-24,$49.99 ,Action,"Open World, Western, Story Rich, Singleplayer, Action, Zombies, Action-Adventure, Third-Person Shooter, Atmospheric, 3D, Great Soundtrack, Third Person, Narration, Shooter, Adventure, Classic, Sexual Content, Gore, Blood, Nudity, +, ",Rockstar Games,Rockstar Games,Very Positive,"- 93% of the 5,061 user reviews for this game are positive."
Rust,8-Feb-18,$39.99 ,"Action, Adventure, Indie, Massively Multiplayer, RPG","Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Post-apocalyptic, Early Access, Simulation, +, ",Facepunch Studios,Facepunch Studios,Very Positive,"- 87% of the 939,451 user reviews for this game are positive."
Total War: WARHAMMER III,16-Feb-22,$59.99 ,"Action, Strategy","Strategy, Turn-Based Strategy, Grand Strategy, RTS, Fantasy, Real Time Tactics, Dark Fantasy, War, Action, Tactical, Atmospheric, Games Workshop, Dwarf, Multiplayer, Colorful, Co-op, PvP, Singleplayer, Story Rich, Online Co-Op, +, ",CREATIVE ASSEMBLY,SEGA,Mostly Positive,"- 70% of the 77,762 user reviews for this game are positive."
War Thunder,15-Aug-13,$89.99 ,"Action, Massively Multiplayer, Simulation, Free To Play","Free to Play, Simulation, Vehicular Combat, Combat, World War II, VR, Flight, War, Military, Tanks, Naval Combat, Multiplayer, Massively Multiplayer, Modern, Cold War, Action, Realistic, Shooter, Third Person, Third-Person Shooter, +, ",Gaijin Entertainment,Gaijin Network Ltd,Mostly Positive,"- 73% of the 567,317 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Balatro,20-Feb-24,$14.99 ,"Casual, Indie, Strategy","Roguelike Deckbuilder, Card Game, Roguelike, Deckbuilding, Singleplayer, Strategy, Card Battler, Replay Value, Turn-Based, Pixel Graphics, Choices Matter, Roguelite, Casual, Turn-Based Strategy, Difficult, 2D, Arcade, Relaxing, Simulation, Procedural Generation, +, ",LocalThunk,Playstack,Overwhelmingly Positive,"- 98% of the 65,145 user reviews for this game are positive."
FINAL FANTASY XVI,17-Sep-24,$49.99 ,"Action, RPG","Action RPG, Spectacle fighter, Story Rich, Action, JRPG, Fantasy, RPG, Dark Fantasy, Singleplayer, Third Person, Cinematic, 3D, Emotional, Drama, Magic, Atmospheric, Party-Based RPG, Great Soundtrack, Violent, Gore, +, ",Square Enix,Square Enix,Mostly Positive,"- 79% of the 9,226 user reviews for this game are positive."
SILENT HILL 2,7-Oct-24,$69.99 ,"Action, Adventure","Psychological Horror, Survival Horror, Horror, Atmospheric, Story Rich, Remake, Psychological, Great Soundtrack, Third Person, Singleplayer, Multiple Endings, Adventure, Action, Exploration, Cinematic, Violent, Sexual Content, 3D, Classic, Action-Adventure, +, ",Bloober Team SA,KONAMI,Overwhelmingly Positive,"- 95% of the 21,206 user reviews for this game are positive."
Liar's Bar,2-Oct-24,$6.99 ,"Casual, Indie, Simulation, Strategy, Early Access","Casual, Multiplayer, PvP, Co-op, Online Co-Op, FPS, Indie, Gambling, 3D, First-Person, Funny, Dark, Puzzle, Horror, Tabletop, Board Game, Strategy, Simulation, Gore, Early Access, +, ",Curve Animation,Curve Animation,Very Positive,"- 91% of the 26,398 user reviews for this game are positive."
theHunter: Call of the Wild™,16-Feb-17,$19.99 ,"Adventure, Simulation, Sports","Hunting, Open World, Multiplayer, Nature, Relaxing, Stealth, Sandbox, FPS, Simulation, Survival, Realistic, Online Co-Op, First-Person, Co-op, America, Walking Simulator, Immersive Sim, Shooter, Sports, Controller, +, ",Expansive Worlds,Avalanche Studios,Very Positive,"- 88% of the 138,732 user reviews for this game are positive."
STAR WARS Jedi: Survivor™,27-Apr-23,$69.99 ,"Action, Adventure","Action, Adventure, Singleplayer, Souls-like, Third Person, Sci-fi, Open World, Action-Adventure, Story Rich, Space, Swordplay, Parkour, Exploration, Combat, Character Customization, RPG, Atmospheric, Great Soundtrack, Difficult, Multiplayer, +, ",Respawn,Electronic Arts,Mixed,"- 67% of the 53,040 user reviews for this game are positive."
Stellaris,9-May-16,$39.99 ,"Simulation, Strategy","Space, Grand Strategy, Strategy, Sci-fi, 4X, Exploration, Sandbox, Simulation, Multiplayer, Singleplayer, Real-Time with Pause, Moddable, Diplomacy, Management, Military, Futuristic, Replay Value, Great Soundtrack, Procedural Generation, Atmospheric, +, ",Paradox Development Studio,Paradox Interactive,Very Positive,"- 87% of the 121,515 user reviews for this game are positive."
Destiny 2,1-Oct-19,$49.99 ,"Action, Adventure, Free To Play","Free to Play, Open World, Looter Shooter, Multiplayer, FPS, MMORPG, Co-op, PvE, PvP, Shooter, Massively Multiplayer, Loot, First-Person, Sci-fi, Action, Adventure, Lore-Rich, Space, Competitive, Atmospheric, +, ",Bungie,Bungie,Very Positive,"- 80% of the 615,909 user reviews for this game are positive."
Grand Theft Auto V,14-Apr-15,$99.99 ,"Action, Adventure","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Mature, Shooter, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable, +, ",Rockstar North,Rockstar Games,Very Positive,"- 87% of the 1,744,788 user reviews for this game are positive."
Farming Simulator 25,12-Nov-24,$49.99 ,Simulation,"Simulation, Farming Sim, Realistic, Immersive Sim, 3D, First-Person, Time Management, Economy, Third Person, Building, Atmospheric, Multiplayer, Management, Nature, Relaxing, Physics, Online Co-Op, Farming, Singleplayer, Moddable, +, ",Giants Software,Giants Software,Mostly Positive,"- 79% of the 11,520 user reviews for this game are positive."
Sons Of The Forest,22-Feb-24,$29.99 ,"Action, Adventure, Indie, Simulation","Survival, Open World, Multiplayer, Co-op, Survival Horror, Base Building, Horror, Crafting, First-Person, Exploration, Building, Adventure, Singleplayer, Atmospheric, Action-Adventure, Sandbox, Action, Simulation, Immersive Sim, Early Access, +, ",Endnight Games Ltd,Newnight,Very Positive,"- 87% of the 195,277 user reviews for this game are positive."
Ready or Not,13-Dec-23,$49.99 ,"Action, Adventure, Indie","Tactical, Realistic, FPS, Shooter, Multiplayer, Co-op, Singleplayer, First-Person, Horror, Action, Violent, Gun Customization, Combat, Crime, Modern, Gore, Atmospheric, America, Co-op Campaign, Psychological Horror, +, ",VOID Interactive,VOID Interactive,Very Positive,"- 88% of the 160,010 user reviews for this game are positive."
The Elder Scrolls® Online,4-Apr-14,$19.99 ,"Action, Adventure, Massively Multiplayer, RPG","RPG, MMORPG, Open World, Fantasy, Adventure, Exploration, Multiplayer, Singleplayer, Massively Multiplayer, Action, Character Customization, PvP, PvE, Lore-Rich, Story Rich, Choose Your Own Adventure, Magic, Class-Based, Action RPG, Atmospheric, +, ",ZeniMax Online Studios,Bethesda Softworks,Very Positive,"- 83% of the 123,834 user reviews for this game are positive."
ATLYSS,22-Nov-24,$9.99 ,"Action, Adventure, Casual, Indie, RPG, Early Access","Early Access, RPG, Action, Adventure, Action RPG, Cute, 3D Platformer, 3D, Stylized, Character Customization, Fantasy, 1990's, Atmospheric, Surreal, Combat, PvE, Multiplayer, PvP, Sexual Content, Singleplayer, +, ",Kiseff,KisSoft,Overwhelmingly Positive,"- 98% of the 4,513 user reviews for this game are positive."
HITMAN World of Assassination,20-Jan-22,$29.99 ,"Action, Adventure","Stealth, Assassin, Action, Singleplayer, VR, Sandbox, Violent, Shooter, Third Person, Third-Person Shooter, Adventure, Realistic, Cinematic, Multiplayer, Puzzle, Funny, Open World, Gore, Immersive Sim, Capitalism, +, ",IO Interactive A/S,IO Interactive A/S,Very Positive,"- 86% of the 30,401 user reviews for this game are positive."
Fallout 76,14-Apr-20,$39.99 ,RPG,"Open World, Multiplayer, Dark Comedy, Post-apocalyptic, RPG, Capitalism, Survival, Base Building, Co-op, Shooter, Horror, MMORPG, Exploration, FPS, Gore, Singleplayer, Violent, Atmospheric, Great Soundtrack, Early Access, +, ",Bethesda Game Studios,Bethesda Softworks,Mostly Positive,"- 76% of the 63,130 user reviews for this game are positive."
Persona 3 Reload,1-Feb-24,$69.99 ,"Adventure, RPG, Strategy","JRPG, RPG, Anime, Party-Based RPG, Turn-Based Strategy, Adventure, Strategy, Dating Sim, Story Rich, Dark, Strategy RPG, Emotional, Visual Novel, Turn-Based Combat, Colorful, Great Soundtrack, Supernatural, Mystery, Detective, Multiple Endings, +, ",ATLUS,SEGA,Very Positive,"- 94% of the 22,635 user reviews for this game are positive."
The Elder Scrolls V: Skyrim Special Edition,27-Oct-16,$39.99 ,RPG,"Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Moddable, Dragons, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator, +, ",Bethesda Game Studios,Bethesda Softworks,Very Positive,"- 94% of the 171,757 user reviews for this game are positive."
Lost Ark,11-Feb-22,Free To Play,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","MMORPG, Free to Play, Action RPG, Multiplayer, Hack and Slash, RPG, Character Customization, Massively Multiplayer, Sexual Content, Action, Adventure, PvE, Fantasy, PvP, Isometric, Class-Based, Online Co-Op, Singleplayer, Violent, Gore, +, ",Smilegate RPG,Amazon Games,Mostly Positive,"- 71% of the 201,142 user reviews for this game are positive."
Phasmophobia,18-Sep-20,$19.99 ,"Action, Indie, Early Access","Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, VR, Supernatural, First-Person, Investigation, Dark, Demons, Detective, Mystery, Thriller, 3D, Early Access, Indie, Action, Tactical, Singleplayer, +, ",Kinetic Games,Kinetic Games,Overwhelmingly Positive,"- 96% of the 592,206 user reviews for this game are positive."
Enshrouded,24-Jan-24,$29.99 ,"Action, Adventure, RPG, Early Access","Open World, Survival, Base Building, Multiplayer, Online Co-Op, Crafting, RPG, Action RPG, Adventure, Building, Exploration, Singleplayer, Fantasy, Sandbox, Character Customization, Early Access, Action, PvE, 3D, Indie, +, ",Keen Games GmbH,Keen Games GmbH,Very Positive,"- 86% of the 56,429 user reviews for this game are positive."
SONIC X SHADOW GENERATIONS,24-Oct-24,$49.99 ,Action,"Action, 3D Platformer, Platformer, Fast-Paced, Great Soundtrack, Singleplayer, 3D, 2D Platformer, Adventure, Soundtrack, Replay Value, Colorful, Family Friendly, Cartoony, 2D, Score Attack, Quick-Time Events, Romance, Linear, Psychological Horror, +, ",Sonic Team,SEGA,Overwhelmingly Positive,"- 97% of the 6,297 user reviews for this game are positive."
Bodycam,7-Jun-24,$33.32 ,"Action, Indie, Massively Multiplayer, Simulation, Strategy, Early Access","Early Access, Strategy, FPS, Immersive Sim, Horror, Military, PvP, PvE, Shooter, Stealth, Survival, VR, Action-Adventure, First-Person, 3D, Surreal, Action, Open World, Simulation, Tactical, +, ",Reissad Studio,Reissad Studio,Mostly Positive,"- 74% of the 24,639 user reviews for this game are positive."
DARK SOULS™ III,11-Apr-16,$59.99 ,Action,"Souls-like, Dark Fantasy, Difficult, RPG, Atmospheric, Lore-Rich, Third Person, Exploration, Story Rich, Action RPG, Co-op, Great Soundtrack, Adventure, Action, Multiplayer, PvP, Open World, Singleplayer, Character Customization, Replay Value, +, ","FromSoftware, Inc.","FromSoftware, Inc.",Very Positive,"- 94% of the 252,924 user reviews for this game are positive."
American Truck Simulator,2-Feb-16,$19.99 ,"Indie, Simulation","Automobile Sim, Driving, Open World, Transportation, Simulation, America, Realistic, Moddable, Relaxing, Exploration, Economy, Management, Atmospheric, Immersive Sim, Multiplayer, Singleplayer, Adventure, Casual, Family Friendly, Level Editor, +, ",SCS Software,SCS Software,Overwhelmingly Positive,"- 97% of the 134,577 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Sekiro™: Shadows Die Twice - GOTY Edition,21-Mar-19,$59.99 ,"Action, Adventure","Souls-like, Difficult, Action, Singleplayer, Ninja, Stealth, Adventure, Third Person, Open World, Story Rich, Violent, Atmospheric, Assassin, Dark Fantasy, Hack and Slash, RPG, Gore, Great Soundtrack, Rhythm, Dark, +, ","FromSoftware, Inc.",Activision (Excluding Japan and Asia),Overwhelmingly Positive,"- 95% of the 221,362 user reviews for this game are positive."
Marvel’s Spider-Man Remastered,12-Aug-22,$59.99 ,"Action, Adventure, Casual","Open World, Superhero, Action, Singleplayer, Story Rich, Adventure, Combat, Action-Adventure, Third Person, Parkour, Comic Book, Exploration, Beautiful, Stealth, Great Soundtrack, Funny, Atmospheric, Sci-fi, Multiplayer, Controller, +, ",Insomniac Games,PlayStation Publishing LLC,Overwhelmingly Positive,"- 96% of the 72,640 user reviews for this game are positive."
DayZ,13-Dec-18,$49.99 ,"Action, Adventure, Massively Multiplayer","Survival, Open World, Online Co-Op, Multiplayer, Zombies, Post-apocalyptic, Shooter, PvP, Action, Massively Multiplayer, FPS, Horror, Sandbox, Co-op, Survival Horror, Adventure, Simulation, First-Person, Atmospheric, Choose Your Own Adventure, +, ",Bohemia Interactive,Bohemia Interactive,Mostly Positive,"- 76% of the 339,471 user reviews for this game are positive."
Satisfactory,10-Sep-24,$39.99 ,"Adventure, Indie, Simulation, Strategy","Base Building, Automation, Open World, Multiplayer, Crafting, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Open World Survival Craft, Survival, Simulation, First-Person, Strategy, Early Access, Singleplayer, Sci-fi, Indie, +, ",Coffee Stain Studios,Coffee Stain Publishing,Overwhelmingly Positive,"- 97% of the 176,013 user reviews for this game are positive."
,,,,,,,No user reviews,No user reviews
Assassin's Creed® Odyssey,5-Oct-18,$59.99 ,"Action, Adventure, RPG","Open World, RPG, Historical, Singleplayer, Action, Assassin, Third Person, Adventure, Mythology, Stealth, Multiple Endings, Story Rich, Female Protagonist, Parkour, Choices Matter, Exploration, Action RPG, Action-Adventure, Multiplayer, Choose Your Own Adventure, +, ",Ubisoft Quebec,Ubisoft,Very Positive,"- 89% of the 146,063 user reviews for this game are positive."
Subnautica,23-Jan-18,$29.99 ,"Adventure, Indie","Open World Survival Craft, Survival, Horror, Open World, Underwater, Exploration, Crafting, Base Building, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Aliens, Atmospheric, Multiplayer, Survival Horror, VR, Action, Indie, +, ",Unknown Worlds Entertainment,Unknown Worlds Entertainment,Overwhelmingly Positive,"- 96% of the 262,909 user reviews for this game are positive."
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,13-Jun-24,$49.99 ,"Action, Adventure, RPG","Action, Adventure, RPG, JRPG, Action-Adventure, Great Soundtrack, Emotional, 3D, Story Rich, Fantasy, Colorful, Singleplayer, Magic, Atmospheric, Cute, Action RPG, Anime, Character Action Game, Classic, Hack and Slash, +, ",Square Enix,Square Enix,Very Positive,"- 80% of the 5,161 user reviews for this game are positive."
LOCKDOWN Protocol,22-Jul-24,$9.99 ,"Action, Casual, Indie, Strategy, Early Access","Early Access, Multiplayer, Social Deduction, Conversation, Action, Space, Casual, Investigation, Sci-fi, First-Person, FPS, Real Time Tactics, Puzzle, PvP, Team-Based, Perma Death, 3D, Strategy, Cute, Stylized, +, ",Mirage Creative Lab,Mirage Creative Lab,Very Positive,"- 90% of the 7,383 user reviews for this game are positive."
The Binding of Isaac: Rebirth,4-Nov-14,$14.99 ,Action,"Action Roguelike, Roguelike, Indie, Replay Value, Difficult, Pixel Graphics, Dungeon Crawler, Great Soundtrack, Singleplayer, Dark, 2D, Local Co-Op, Remake, Gore, Procedural Generation, Roguelite, Atmospheric, Action, Co-op, Horror, +, ","Nicalis, Inc.","Nicalis, Inc.",Overwhelmingly Positive,"- 97% of the 281,633 user reviews for this game are positive."
No Man's Sky,12-Aug-16,$59.99 ,"Action, Adventure","Open World, Open World Survival Craft, Space, Exploration, Sci-fi, Survival, Procedural Generation, Adventure, First-Person, Sandbox, Multiplayer, Singleplayer, Atmospheric, Crafting, Space Sim, Indie, Action, Simulation, FPS, VR, +, ",Hello Games,Hello Games,Very Positive,"- 80% of the 249,203 user reviews for this game are positive."
Manor Lords,26-Apr-24,$39.99 ,"Simulation, Strategy, Early Access","Strategy, Medieval, City Builder, Open World, War, Simulation, RPG, Adventure, Sandbox, Dark Fantasy, Character Customization, Survival, Action, Singleplayer, Moddable, Historical, Third Person, First-Person, Realistic, Early Access, +, ",Slavic Magic,Hooded Horse,Very Positive,"- 87% of the 51,454 user reviews for this game are positive."
Diablo® IV,17-Oct-23,$49.99 ,"Action, RPG","Action RPG, Hack and Slash, Loot, Isometric, RPG, Online Co-Op, Singleplayer, Co-op, Dungeon Crawler, Multiplayer, Action, Third Person, Fantasy, PvE, Dark Fantasy, Story Rich, Gore, Point & Click, Violent, Exploration, +, ","Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",Mostly Positive,"- 71% of the 28,561 user reviews for this game are positive."
Tom Clancy's Rainbow Six® Siege,1-Dec-15,$19.99 ,Action,"FPS, PvP, eSports, Multiplayer, Shooter, Tactical, Competitive, Online Co-Op, Action, Hero Shooter, Team-Based, Military, Strategy, First-Person, War, Co-op, Realistic, Destruction, Difficult, 3D, +, ",Ubisoft Montreal,Ubisoft,Very Positive,"- 85% of the 1,134,075 user reviews for this game are positive."
Hades II,6-May-24,$29.99 ,"Action, Indie, RPG, Early Access","Action, Roguelike, Roguelite, RPG, Hack and Slash, Action Roguelike, Action RPG, Dungeon Crawler, Mythology, Isometric, Hand-drawn, Story Rich, Singleplayer, Atmospheric, Souls-like, Female Protagonist, Indie, Early Access, Perma Death, LGBTQ+, +, ",Supergiant Games,Supergiant Games,Very Positive,"- 94% of the 51,462 user reviews for this game are positive."
Hearts of Iron IV,6-Jun-16,$49.99 ,"Simulation, Strategy","Strategy, World War II, Grand Strategy, War, Historical, Military, Alternate History, Multiplayer, Simulation, Tactical, Real-Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co-op, Strategy RPG, Competitive, Open World, Action, +, ",Paradox Development Studio,Paradox Interactive,Very Positive,"- 91% of the 226,681 user reviews for this game are positive."
Crusader Kings III,1-Sep-20,$49.99 ,"RPG, Simulation, Strategy","Strategy, Medieval, Grand Strategy, Simulation, RPG, Historical, Management, Character Customization, Life Sim, RTS, Sandbox, Choices Matter, War, Singleplayer, Economy, Political, 4X, Moddable, Multiplayer, Real-Time with Pause, +, ",Paradox Development Studio,Paradox Interactive,Very Positive,"- 91% of the 75,657 user reviews for this game are positive."
Horizon Forbidden West™ Complete Edition,21-Mar-24,$59.99 ,"Action, RPG","Singleplayer, Open World, Female Protagonist, Action, RPG, Exploration, Story Rich, Post-apocalyptic, Third Person, Sci-fi, Robots, Action RPG, Adventure, Atmospheric, Great Soundtrack, LGBTQ+, Controller, Action-Adventure, Stealth, Multiplayer, +, ",Guerrilla,PlayStation Publishing LLC,Very Positive,"- 89% of the 12,362 user reviews for this game are positive."
